Gene stable ID	MGI ID
ENSMUSG00000003379	MGI:101774
ENSMUSG00000002957	MGI:101920
ENSMUSG00000066441	MGI:102581
ENSMUSG00000024369	MGI:102744
ENSMUSG00000036938	MGI:102756
ENSMUSG00000029608	MGI:102788
ENSMUSG00000021070	MGI:102845
ENSMUSG00000034810	MGI:102965
ENSMUSG00000030243	MGI:103021
ENSMUSG00000026727	MGI:103040
ENSMUSG00000015342	MGI:103569
ENSMUSG00000046949	MGI:104513
ENSMUSG00000000605	MGI:104571
ENSMUSG00000083649	MGI:104605
ENSMUSG00000041390	MGI:104611
ENSMUSG00000020330	MGI:104667
ENSMUSG00000034341	MGI:104709
ENSMUSG00000031554	MGI:104730
ENSMUSG00000004980	MGI:104819
ENSMUSG00000029538	MGI:104896
ENSMUSG00000047894	MGI:104984
ENSMUSG00000060407	MGI:105055
ENSMUSG00000032484	MGI:105983
ENSMUSG00000002233	MGI:106028
ENSMUSG00000028240	MGI:106091
ENSMUSG00000038656	MGI:106099
ENSMUSG00000020255	MGI:106381
ENSMUSG00000049612	MGI:106586
ENSMUSG00000027335	MGI:106673
ENSMUSG00000033953	MGI:107172
ENSMUSG00000034024	MGI:107186
ENSMUSG00000026825	MGI:107384
ENSMUSG00000048806	MGI:107657
ENSMUSG00000019027	MGI:107721
ENSMUSG00000032508	MGI:108005
ENSMUSG00000033386	MGI:108076
ENSMUSG00000031766	MGI:108114
ENSMUSG00000005575	MGI:108278
ENSMUSG00000021708	MGI:109137
ENSMUSG00000006611	MGI:109191
ENSMUSG00000025425	MGI:109243
ENSMUSG00000032528	MGI:109272
ENSMUSG00000005609	MGI:109345
ENSMUSG00000029112	MGI:109346
ENSMUSG00000067614	MGI:109362
ENSMUSG00000032174	MGI:109430
ENSMUSG00000042535	MGI:109443
ENSMUSG00000052301	MGI:109446
ENSMUSG00000021789	MGI:109518
ENSMUSG00000032854	MGI:109522
ENSMUSG00000021413	MGI:109584
ENSMUSG00000044748	MGI:1096878
ENSMUSG00000020150	MGI:1098221
ENSMUSG00000032489	MGI:1098237
ENSMUSG00000023999	MGI:1098238
ENSMUSG00000033931	MGI:1098653
ENSMUSG00000029192	MGI:1098708
ENSMUSG00000038379	MGI:1194921
ENSMUSG00000089789	MGI:1195275
ENSMUSG00000031921	MGI:1195972
ENSMUSG00000058446	MGI:1196246
ENSMUSG00000027613	MGI:1196288
ENSMUSG00000027263	MGI:1196293
ENSMUSG00000072679	MGI:1196315
ENSMUSG00000053411	MGI:1196439
ENSMUSG00000028747	MGI:1196627
ENSMUSG00000025375	MGI:1197518
ENSMUSG00000053510	MGI:1201386
ENSMUSG00000033066	MGI:1202388
ENSMUSG00000029205	MGI:1202403
ENSMUSG00000022157	MGI:1261780
ENSMUSG00000020589	MGI:1261783
ENSMUSG00000024526	MGI:1270845
ENSMUSG00000038676	MGI:1276123
ENSMUSG00000026815	MGI:1276578
ENSMUSG00000031592	MGI:1277958
ENSMUSG00000040714	MGI:1277971
ENSMUSG00000029432	MGI:1278343
ENSMUSG00000044948	MGI:1289258
ENSMUSG00000071655	MGI:1289301
ENSMUSG00000103707	MGI:1298367
ENSMUSG00000103310	MGI:1298370
ENSMUSG00000103092	MGI:1298371
ENSMUSG00000102206	MGI:1298372
ENSMUSG00000007440	MGI:1298372
ENSMUSG00000020196	MGI:1298375
ENSMUSG00000104252	MGI:1298406
ENSMUSG00000062352	MGI:1306802
ENSMUSG00000087090	MGI:1306816
ENSMUSG00000046908	MGI:1309472
ENSMUSG00000061787	MGI:1309526
ENSMUSG00000048981	MGI:1309993
ENSMUSG00000026390	MGI:1309998
ENSMUSG00000030337	MGI:1313276
ENSMUSG00000024660	MGI:1313288
ENSMUSG00000040701	MGI:1328307
ENSMUSG00000027887	MGI:1328311
ENSMUSG00000026272	MGI:1329033
ENSMUSG00000046259	MGI:1330343
ENSMUSG00000027162	MGI:1330839
ENSMUSG00000029602	MGI:1330842
ENSMUSG00000044597	MGI:1332242
ENSMUSG00000028972	MGI:1333786
ENSMUSG00000022779	MGI:1333803
ENSMUSG00000061477	MGI:1333818
ENSMUSG00000032946	MGI:1333849
ENSMUSG00000106685	MGI:1333849
ENSMUSG00000004508	MGI:1333854
ENSMUSG00000018661	MGI:1333873
ENSMUSG00000038861	MGI:1334433
ENSMUSG00000049717	MGI:1335098
ENSMUSG00000018001	MGI:1335107
ENSMUSG00000030167	MGI:1336161
ENSMUSG00000025091	MGI:1336202
ENSMUSG00000015536	MGI:1336894
ENSMUSG00000019518	MGI:1337063
ENSMUSG00000022758	MGI:1337113
ENSMUSG00000001313	MGI:1338755
ENSMUSG00000001021	MGI:1338849
ENSMUSG00000044827	MGI:1341295
ENSMUSG00000051498	MGI:1341296
ENSMUSG00000020537	MGI:1342307
ENSMUSG00000037428	MGI:1343180
ENSMUSG00000002949	MGI:1343262
ENSMUSG00000025234	MGI:1344363
ENSMUSG00000079434	MGI:1344417
ENSMUSG00000020840	MGI:1345186
ENSMUSG00000002871	MGI:1345190
ENSMUSG00000025013	MGI:1346044
ENSMUSG00000003279	MGI:1346065
ENSMUSG00000037418	MGI:1346332
ENSMUSG00000027566	MGI:1347070
ENSMUSG00000031347	MGI:1347085
ENSMUSG00000030382	MGI:1347100
ENSMUSG00000033788	MGI:1349385
ENSMUSG00000034993	MGI:1349450
ENSMUSG00000030744	MGI:1350917
ENSMUSG00000003970	MGI:1350927
ENSMUSG00000015316	MGI:1351314
ENSMUSG00000007107	MGI:1351335
ENSMUSG00000023192	MGI:1351339
ENSMUSG00000039775	MGI:1351612
ENSMUSG00000027048	MGI:1351619
ENSMUSG00000030237	MGI:1351896
ENSMUSG00000040940	MGI:1353510
ENSMUSG00000030120	MGI:1353554
ENSMUSG00000030763	MGI:1353593
ENSMUSG00000064326	MGI:1353606
ENSMUSG00000040913	MGI:1354698
ENSMUSG00000045236	MGI:1354758
ENSMUSG00000035828	MGI:1355297
ENSMUSG00000035239	MGI:1355305
ENSMUSG00000074695	MGI:1355307
ENSMUSG00000028862	MGI:1855691
ENSMUSG00000002984	MGI:1858259
ENSMUSG00000034480	MGI:1858500
ENSMUSG00000021065	MGI:1858901
ENSMUSG00000039166	MGI:1859150
ENSMUSG00000067144	MGI:1859559
ENSMUSG00000039556	MGI:1859617
ENSMUSG00000062949	MGI:1859661
ENSMUSG00000108408	MGI:1859661
ENSMUSG00000014542	MGI:1859834
ENSMUSG00000050148	MGI:1860283
ENSMUSG00000058773	MGI:1861461
ENSMUSG00000022747	MGI:1888707
ENSMUSG00000036578	MGI:1889006
ENSMUSG00000046722	MGI:1889510
ENSMUSG00000057110	MGI:1889576
ENSMUSG00000063297	MGI:1889615
ENSMUSG00000058586	MGI:1890404
ENSMUSG00000035455	MGI:1890648
ENSMUSG00000076436	MGI:1891061
ENSMUSG00000047330	MGI:1891125
ENSMUSG00000062372	MGI:1891247
ENSMUSG00000029790	MGI:1891414
ENSMUSG00000102697	MGI:1891443
ENSMUSG00000025318	MGI:1891497
ENSMUSG00000022613	MGI:1891725
ENSMUSG00000029029	MGI:1891749
ENSMUSG00000054065	MGI:1891830
ENSMUSG00000021140	MGI:1891924
ENSMUSG00000021690	MGI:1913096
ENSMUSG00000027673	MGI:1913296
ENSMUSG00000022677	MGI:1913336
ENSMUSG00000031505	MGI:1913353
ENSMUSG00000032079	MGI:1913363
ENSMUSG00000019868	MGI:1913451
ENSMUSG00000021692	MGI:1913504
ENSMUSG00000031919	MGI:1913519
ENSMUSG00000060424	MGI:1913547
ENSMUSG00000024601	MGI:1913557
ENSMUSG00000019054	MGI:1913687
ENSMUSG00000066149	MGI:1913690
ENSMUSG00000028536	MGI:1913701
ENSMUSG00000032567	MGI:1913845
ENSMUSG00000038150	MGI:1913862
ENSMUSG00000097063	MGI:1913870
ENSMUSG00000056445	MGI:1913890
ENSMUSG00000027509	MGI:1913929
ENSMUSG00000035399	MGI:1913930
ENSMUSG00000033760	MGI:1913954
ENSMUSG00000052748	MGI:1914125
ENSMUSG00000053111	MGI:1914180
ENSMUSG00000032062	MGI:1914202
ENSMUSG00000024436	MGI:1914223
ENSMUSG00000024845	MGI:1914240
ENSMUSG00000059291	MGI:1914275
ENSMUSG00000036748	MGI:1914366
ENSMUSG00000006736	MGI:1914375
ENSMUSG00000056938	MGI:1914381
ENSMUSG00000032491	MGI:1914419
ENSMUSG00000038510	MGI:1914489
ENSMUSG00000027078	MGI:1914500
ENSMUSG00000038736	MGI:1914679
ENSMUSG00000024234	MGI:1914690
ENSMUSG00000018541	MGI:1914730
ENSMUSG00000033053	MGI:1914733
ENSMUSG00000040359	MGI:1914740
ENSMUSG00000014177	MGI:1914760
ENSMUSG00000011096	MGI:1914855
ENSMUSG00000074476	MGI:1914879
ENSMUSG00000024603	MGI:1914915
ENSMUSG00000027245	MGI:1914943
ENSMUSG00000030750	MGI:1914961
ENSMUSG00000028540	MGI:1914978
ENSMUSG00000008475	MGI:1915021
ENSMUSG00000020441	MGI:1915112
ENSMUSG00000023433	MGI:1915118
ENSMUSG00000027746	MGI:1915140
ENSMUSG00000022024	MGI:1915205
ENSMUSG00000002524	MGI:1915209
ENSMUSG00000006392	MGI:1915269
ENSMUSG00000025723	MGI:1915289
ENSMUSG00000021807	MGI:1915295
ENSMUSG00000041567	MGI:1915304
ENSMUSG00000032261	MGI:1915350
ENSMUSG00000058503	MGI:1915402
ENSMUSG00000023118	MGI:1915438
ENSMUSG00000027349	MGI:1915465
ENSMUSG00000032381	MGI:1915500
ENSMUSG00000027778	MGI:1915509
ENSMUSG00000001082	MGI:1915544
ENSMUSG00000031922	MGI:1915551
ENSMUSG00000079508	MGI:1915566
ENSMUSG00000021252	MGI:1915571
ENSMUSG00000015126	MGI:1915577
ENSMUSG00000112129	MGI:1915621
ENSMUSG00000051550	MGI:1915740
ENSMUSG00000079428	MGI:1915746
ENSMUSG00000023967	MGI:1915815
ENSMUSG00000001403	MGI:1915862
ENSMUSG00000064138	MGI:1915925
ENSMUSG00000068745	MGI:1916003
ENSMUSG00000039987	MGI:1916020
ENSMUSG00000030269	MGI:1916075
ENSMUSG00000042066	MGI:1916125
ENSMUSG00000040396	MGI:1916154
ENSMUSG00000045114	MGI:1916267
ENSMUSG00000034429	MGI:1916270
ENSMUSG00000033159	MGI:1916421
ENSMUSG00000030219	MGI:1916437
ENSMUSG00000071324	MGI:1916449
ENSMUSG00000028643	MGI:1916466
ENSMUSG00000017195	MGI:1916626
ENSMUSG00000004748	MGI:1916686
ENSMUSG00000026999	MGI:1916732
ENSMUSG00000066735	MGI:1916818
ENSMUSG00000024527	MGI:1916847
ENSMUSG00000048830	MGI:1916946
ENSMUSG00000044433	MGI:1916947
ENSMUSG00000054814	MGI:1916977
ENSMUSG00000003411	MGI:1917158
ENSMUSG00000078515	MGI:1917244
ENSMUSG00000047394	MGI:1917363
ENSMUSG00000036737	MGI:1917378
ENSMUSG00000043384	MGI:1917418
ENSMUSG00000029094	MGI:1917542
ENSMUSG00000041891	MGI:1917611
ENSMUSG00000038742	MGI:1917976
ENSMUSG00000027858	MGI:1917997
ENSMUSG00000015176	MGI:1918019
ENSMUSG00000036885	MGI:1918053
ENSMUSG00000055937	MGI:1918093
ENSMUSG00000039391	MGI:1918134
ENSMUSG00000038069	MGI:1918175
ENSMUSG00000057706	MGI:1918252
ENSMUSG00000043372	MGI:1918309
ENSMUSG00000021782	MGI:1918478
ENSMUSG00000033182	MGI:1918481
ENSMUSG00000026893	MGI:1918521
ENSMUSG00000023993	MGI:1918576
ENSMUSG00000116425	MGI:1918576
ENSMUSG00000036053	MGI:1918659
ENSMUSG00000034621	MGI:1918667
ENSMUSG00000032024	MGI:1918816
ENSMUSG00000048371	MGI:1918878
ENSMUSG00000006019	MGI:1918973
ENSMUSG00000039715	MGI:1919070
ENSMUSG00000024175	MGI:1919090
ENSMUSG00000058260	MGI:1919157
ENSMUSG00000056228	MGI:1919191
ENSMUSG00000070697	MGI:1919230
ENSMUSG00000023973	MGI:1919279
ENSMUSG00000022422	MGI:1919357
ENSMUSG00000025086	MGI:1919383
ENSMUSG00000030924	MGI:1919402
ENSMUSG00000027770	MGI:1919412
ENSMUSG00000022763	MGI:1919418
ENSMUSG00000053134	MGI:1919445
ENSMUSG00000031072	MGI:1919534
ENSMUSG00000045064	MGI:1919600
ENSMUSG00000036769	MGI:1919654
ENSMUSG00000053080	MGI:1919667
ENSMUSG00000055561	MGI:1919682
ENSMUSG00000033589	MGI:1919799
ENSMUSG00000022494	MGI:1919805
ENSMUSG00000058729	MGI:1919818
ENSMUSG00000021012	MGI:1919824
ENSMUSG00000031095	MGI:1919834
ENSMUSG00000029782	MGI:1919899
ENSMUSG00000090386	MGI:1919929
ENSMUSG00000028514	MGI:1919936
ENSMUSG00000033033	MGI:1919941
ENSMUSG00000035351	MGI:1919964
ENSMUSG00000087060	MGI:1919985
ENSMUSG00000040964	MGI:1920004
ENSMUSG00000051098	MGI:1920102
ENSMUSG00000044627	MGI:1920181
ENSMUSG00000024666	MGI:1920232
ENSMUSG00000087403	MGI:1920247
ENSMUSG00000039913	MGI:1920334
ENSMUSG00000034109	MGI:1920374
ENSMUSG00000074415	MGI:1920394
ENSMUSG00000028133	MGI:1920420
ENSMUSG00000034826	MGI:1920460
ENSMUSG00000022434	MGI:1920475
ENSMUSG00000037101	MGI:1920551
ENSMUSG00000019732	MGI:1920566
ENSMUSG00000021500	MGI:1920895
ENSMUSG00000025995	MGI:1920924
ENSMUSG00000024082	MGI:1920944
ENSMUSG00000027459	MGI:1921097
ENSMUSG00000025916	MGI:1921138
ENSMUSG00000021066	MGI:1921241
ENSMUSG00000022789	MGI:1921256
ENSMUSG00000033222	MGI:1921294
ENSMUSG00000015653	MGI:1921301
ENSMUSG00000032278	MGI:1921340
ENSMUSG00000012296	MGI:1921344
ENSMUSG00000028967	MGI:1921405
ENSMUSG00000027913	MGI:1921425
ENSMUSG00000022031	MGI:1921445
ENSMUSG00000025474	MGI:1921487
ENSMUSG00000021565	MGI:1921588
ENSMUSG00000016239	MGI:1921615
ENSMUSG00000040936	MGI:1921622
ENSMUSG00000042520	MGI:1921633
ENSMUSG00000019715	MGI:1921662
ENSMUSG00000040651	MGI:1921694
ENSMUSG00000033948	MGI:1921714
ENSMUSG00000021838	MGI:1921730
ENSMUSG00000032513	MGI:1921748
ENSMUSG00000037251	MGI:1921903
ENSMUSG00000029477	MGI:1922140
ENSMUSG00000026578	MGI:1922145
ENSMUSG00000026301	MGI:1922168
ENSMUSG00000020562	MGI:1922290
ENSMUSG00000022197	MGI:1922394
ENSMUSG00000051758	MGI:1922411
ENSMUSG00000044556	MGI:1922423
ENSMUSG00000018921	MGI:1922523
ENSMUSG00000051728	MGI:1922578
ENSMUSG00000026894	MGI:1922745
ENSMUSG00000027886	MGI:1922754
ENSMUSG00000048206	MGI:1922801
ENSMUSG00000011154	MGI:1922806
ENSMUSG00000026049	MGI:1922873
ENSMUSG00000029321	MGI:1923000
ENSMUSG00000043153	MGI:1923097
ENSMUSG00000019856	MGI:1923156
ENSMUSG00000040653	MGI:1923392
ENSMUSG00000069670	MGI:1923447
ENSMUSG00000031210	MGI:1923456
ENSMUSG00000038836	MGI:1923473
ENSMUSG00000012428	MGI:1923560
ENSMUSG00000071652	MGI:1923578
ENSMUSG00000072889	MGI:1923646
ENSMUSG00000027326	MGI:1923714
ENSMUSG00000047921	MGI:1923760
ENSMUSG00000026504	MGI:1924066
ENSMUSG00000037095	MGI:1924155
ENSMUSG00000078680	MGI:1924164
ENSMUSG00000028419	MGI:1924209
ENSMUSG00000020952	MGI:1924233
ENSMUSG00000046591	MGI:1924261
ENSMUSG00000035569	MGI:1924337
ENSMUSG00000007836	MGI:1924384
ENSMUSG00000056735	MGI:1924414
ENSMUSG00000038248	MGI:1924427
ENSMUSG00000038936	MGI:1924486
ENSMUSG00000026014	MGI:1924550
ENSMUSG00000028033	MGI:1924937
ENSMUSG00000078252	MGI:1925164
ENSMUSG00000026870	MGI:1925246
ENSMUSG00000068115	MGI:1925427
